# Data from https://globalfit.astroparticles.es/2018/02/09/empty/
parameter 	best fit \pm 1\sigma 	2\sigma range 	3\sigma range
\Delta m^2_{21}: [10^{-5} eV^2] 	7.50^{+0.22}_{-0.20} 	7.11–7.93 	6.94–8.14
|\Delta m^2_{31}|: [10^{-3} eV^2] (NO) 	2.55^{+0.02}_{-0.03} 	2.49–2.60 	2.47–2.63
|\Delta m^2_{31}|: [10^{-3} eV^2] (IO) 	2.45^{+0.02}_{-0.03} 	2.39–2.50 	2.37–2.53
\sin^2\theta_{12} / 10^{-1} 	3.18\pm0.16 	2.86–3.52 	2.71–3.69
\sin^2\theta_{23} / 10^{-1} (NO) 	5.74\pm0.14 	5.41–5.99 	4.34–6.10
\sin^2\theta_{23} / 10^{-1} (IO) 	5.78^{+0.10}_{-0.17} 	5.41–5.98 	4.33–6.08
\sin^2\theta_{13} / 10^{-2} (NO) 	2.200^{+0.069}_{-0.062} 	2.069–2.337 	2.000–2.405
\sin^2\theta_{13} / 10^{-2} (IO) 	2.225^{+0.064}_{-0.070} 	2.086–2.356 	2.018–2.424
\delta_{\rm CP}/\pi (NO) 	1.08^{+0.13}_{-0.12} 	0.84–1.42 	0.71–1.99
\delta_{\rm CP}/\pi (IO) 	1.58^{+0.15}_{-0.16} 	1.26–1.85 	1.11–1.96
