Isotope,Half-life (days),Semi-empirical [11],Semi-empirical [12],MENDL-2p [11],MENDL-2p [12],MENDL-2 [11],MENDL-2 [12]
H-3,4503.4,37.03,53.47,37.03,53.47,37.03,53.47
Be-7,53.3,2.16,1.77,2.16,1.77,2.16,1.77
Be-10,1.4E+08,0.45,0.36,0.45,0.36,0.45,0.36
B-11,1.10E+10,0.04,0.02,0.04,0.02,0.04,0.02
C-14,2.09E+06,0.33,0.17,0.33,0.17,0.33,0.17
Ne-20,1.10E+10,0.05,0.02,0.05,0.02,0.05,0.02
Na-22,950.35,0.51,0.26,0.51,0.26,0.51,0.26
Al-26,2.66E+08,0.47,0.26,0.47,0.26,0.47,0.26
Si-32,237000,0.14,0.10,0.14,0.10,0.14,0.10
P-31,1.10E+10,0.10,0.06,0.10,0.06,0.10,0.06
P-32,14.28,1.11,0.75,1.11,0.75,1.11,0.75
P-33,25.3,0.49,0.35,0.49,0.35,0.49,0.35
S-35,87.4,0.80,0.62,0.80,0.62,0.80,0.62
Cl-36,1.10E+08,2.02,1.66,2.02,1.66,2.02,1.66
Ar-37,35,2.09,1.84,2.09,1.84,2.09,1.84
Ar-39,12800,1.39,1.33,1.39,1.33,1.39,1.33
Ar-42,12000,0.04,0.04,0.04,0.04,0.04,0.04
K-42,0.52,0.74,0.86,0.74,0.86,0.74,0.86
K-43,0.93,0.26,0.32,0.26,0.32,0.26,0.32
Ca-40,1.10E+10,0.07,0.07,0.07,0.07,0.07,0.07
Ca-41,3.65E+07,3.27,3.68,3.26,3.67,3.24,3.61
Ca-45,165,0.44,0.62,0.44,0.62,0.43,0.59
Ca-47,4.536,0.03,0.05,0.03,0.05,0.03,0.05
Sc-46,83.8,2.32,3.52,1.93,2.58,2.20,3.24
Sc-47,3.42,0.90,1.45,0.70,0.97,0.86,1.35
Sc-48,1.82,0.12,0.20,0.10,0.16,0.11,0.19
Ti-44,17200,1.32,1.82,1.39,2.03,1.29,1.75
V-48,15.976,13.22,23.25,13.47,24.06,12.94,22.55
V-49,330,21.83,40.14,21.64,40.18,20.51,36.98
V-51,1.10E+10,0.20,0.40,0.12,0.21,0.18,0.35
Cr-48,0.989,1.31,2.32,1.67,3.21,1.23,2.14
Cr-51,27.7,36.61,74.53,34.67,69.66,36.84,74.71
Mn-52,5.59,30.56,65.81,31.02,67.49,31.92,69.39
Mn-53,1.38E+09,30.08,66.93,23.63,51.23,29.22,65.14
Mn-54,312,39.33,89.93,24.26,52.64,38.47,87.61
Fe-55,986.2,203.72,484.69,126.79,293.37,175.67,414.42
Fe-59,44.6,0.82,1.83,0.44,0.89,1.48,3.58
Fe-60,5.47E+08,0.15,0.30,0.10,0.19,0.23,0.52
Co-56,78.8,85.49,204.65,90.04,223.31,101.71,252.70
Co-57,271,137.93,315.32,171.25,404.74,256.06,624.33
Co-58,70.8,46.30,121.44,36.38,97.41,87.44,491.91
Co-60,1925.2,16.38,47.73,13.66,40.84,12.94,35.96
Ni-56,6.1,7.29,17.49,17.27,44.08,7.16,17.55
Ni-57,1.5,64.73,153.14,100.37,249.43,61.52,144.92
Ni-59,2.92E+07,33.45,79.71,55.67,139.16,40.45,97.79
Ni-63,36524,1.84,4.27,0.96,2.00,2.43,5.78
Ni-66,2.28,0.00,0.13,0.00,0.00,0.00,0.00
Cu-63,1.10E+10,0.05,0.01,0.08,0.22,0.05,0.13
