Voltage           , gain
996.149470330621 , 67686.32386836968
1095.6032246838154, 157076.94966986423
1195.7244564109703, 344273.1053518921
1296.631106497858 , 683039.0830603456
1398.8391272423953, 1209540.004645879
1499.4314675274752, 2141034.483277275
1601.068740963421 , 3529840.665133777
1700.8238897903343, 5817676.073278288
1751.8817285817177, 7208501.814824331
1804.4722968447993, 9059293.588072518
1856.2529529403844, 11224204.18942014
1899.7222411946434, 13706479.82643874
1956.7509039042661, 17471456.026036035
